year,sample_size,employment,members,covered,p_members,p_covered,facet
1973,49095,75519.29120000095,18088.569929999903,,0.2395225018262863,,all wage and salary workers
1974,48245,77101.09793000149,18176.47503000012,,0.2357485890388488,,all wage and salary workers
1975,46488,75703.92288000004,16778.279919999986,,0.22163026034832,,all wage and salary workers
1976,47648,78776.94195000037,17402.984899999974,,0.2209147065877914,,all wage and salary workers
1977,57191,81334.12743000114,19335.10077000005,21534.59938000003,0.2377243340015411,0.2647670805454254,all wage and salary workers
1978,57321,84966.08006999941,19548.35166999991,21897.53620999992,0.2300724238157272,0.2577209174633026,all wage and salary workers
1979,58080,87116.57393000081,20986.147840000056,23540.07742000013,0.2408972978591919,0.2702135443687439,all wage and salary workers
1980,68594,87479.50369999958,20095.26238999997,22493.37342999994,0.2297139465808868,0.2571273446083069,all wage and salary workers
1981,15433,89538.04880000003,19137.320520000023,21453.08392000005,0.2137339413166046,0.2395974099636078,all wage and salary workers
1983,173932,88289.51670000106,17717.378961666738,20532.145869999884,0.2006736397743225,0.2325547486543655,all wage and salary workers
1984,177248,92194.16197750246,17339.762930833444,19931.519052500164,0.1880787461996078,0.216190680861473,all wage and salary workers
1985,180232,94520.52392166716,16996.100797499992,19358.12242333324,0.1798138618469238,0.2048033773899078,all wage and salary workers
1986,179147,96902.55108249965,16975.179737500046,19277.84865249993,0.1751778423786163,0.1989405751228332,all wage and salary workers
1987,180434,99302.7461049994,16913.06435999991,19050.957252500008,0.1703182011842727,0.1918472349643707,all wage and salary workers
1988,173118,101407.4481066674,17001.66458083348,19241.32212750014,0.1676569581031799,0.1897426843643188,all wage and salary workers
1989,176411,103479.62824833296,16960.451555833326,19197.560827500005,0.1639013588428497,0.185520201921463,all wage and salary workers
1990,185030,104875.54395833529,16775.97025249998,19105.112886666582,0.1599607467651367,0.1821693778038025,all wage and salary workers
1991,179560,103722.607225834,16611.82471666667,18789.857096666725,0.1601562649011612,0.1811548918485641,all wage and salary workers
1992,176846,104668.28627250151,16418.236650833343,18578.465915833345,0.1568597108125686,0.1774985194206237,all wage and salary workers
1993,174595,106101.26934833342,16627.47050833344,18682.441715833407,0.1567132025957107,0.1760812252759933,all wage and salary workers
1994,170804,107987.75679540967,16740.348000691647,18842.47810624165,0.1550208032131195,0.1744871735572815,all wage and salary workers
1995,170307,110038.123638408,16359.589281249964,18346.32566363321,0.1486720144748687,0.1667269915342331,all wage and salary workers
1996,152190,111960.2534778087,16269.35964118337,18158.117253683333,0.1453137099742889,0.1621835976839065,all wage and salary workers
1997,154955,114533.04828369989,16109.9231435499,17923.00497078308,0.1406574249267578,0.1564876288175583,all wage and salary workers
1998,156990,116729.91252352542,16211.411566950042,17918.332167016728,0.1388796716928482,0.1535024940967559,all wage and salary workers
1999,159378,118963.49529266728,16476.692962966736,18182.27779456668,0.1385020911693573,0.1528391391038894,all wage and salary workers
2000,161126,120785.62531066051,16258.172888916648,17944.135678799965,0.1346035450696945,0.1485618501901626,all wage and salary workers
2001,171533,120707.62323302536,16288.771418533248,17878.084075924944,0.1349440217018127,0.1481106430292129,all wage and salary workers
2002,184137,119979.24687530934,15978.70488841677,17501.635449025114,0.1331789046525955,0.1458721905946731,all wage and salary workers
2003,180830,122357.87796185089,15775.972832874904,17448.363455866576,0.1289330422878265,0.1426010578870773,all wage and salary workers
2004,177858,123553.8795975277,15471.604411400069,17087.306393008403,0.1252215206623077,0.1382984220981598,all wage and salary workers
2005,179148,125889.26202059096,15685.38839984162,17223.36534790834,0.1245967149734497,0.13681361079216,all wage and salary workers
2006,178661,128237.18093777647,15359.10269724175,16860.18015935845,0.1197710558772087,0.1314765363931656,all wage and salary workers
2007,177023,129767.0020113655,15670.346927841583,17243.343096624907,0.1207575649023056,0.1328792572021484,all wage and salary workers
2008,174897,129377.17670944169,16097.530057458373,17760.58462451672,0.1244232580065727,0.1372775733470916,all wage and salary workers
2009,169727,124489.87076529783,15327.285125883402,16903.60256526673,0.1231207400560379,0.1357829570770263,all wage and salary workers
2010,167828,124073.03997424194,14715.056266066636,16289.5306507833,0.1185999512672424,0.131289854645729,all wage and salary workers
2011,166259,125210.12086580544,14754.669859041594,16281.017976449912,0.1178392767906189,0.1300295740365982,all wage and salary workers
2012,166084,127603.16331974116,14349.353534841606,15905.90514512492,0.1124529615044593,0.1246513351798057,all wage and salary workers
2013,165878,129136.60615942007,14515.752714099948,16016.168974691667,0.1124061793088913,0.1240250095725059,all wage and salary workers
2014,167074,131452.77927449107,14569.935701449978,16142.440017633278,0.1108377948403358,0.1228002980351448,all wage and salary workers
2015,165282,133770.48226769842,14786.280509733351,16432.8103475083,0.1105347052216529,0.1228433176875114,all wage and salary workers
